date,time,rank,match,pick,side,line,odds,bookmaker,result,total_games,final_score,profit,stake,jakob_score,confidence,quality_score,edge_percent,market_gap,tournament,event_type
2026-06-12,14:00,2,B. Bonzi - A. De Minaur,UNDER 21.5 games,under,21.5,2.1,Betfair,win,18,"2-6, 4-6",0.825,0.75,72.72040546,77.0,77.2,9.38,0.5992,Hertogenbosch,Atp Singles
2026-06-12,12:20,1,A. Dudeney - A. Krueger,UNDER 19.5 games,under,19.5,2.1,Pncl,loss,27,"4-6, 6-3, 2-6",-0.75,0.75,80.0702278,89.7,86.4,9.38,0.598,Ilkley,Challenger Women Singles
2026-06-11,18:00,9,D. Lajovic - O. Roca Batalla,UNDER 20.5 games,under,20.5,2.07,Betano,void,,,0.0,0.75,70.05865784,87.3,78.7,8.69,0.4567,Cattolica (Italy) - Qualification,Challenger Men Singles
2026-06-11,17:00,3,B. Shelton - M. Giron,UNDER 24.5 games,under,24.5,2.14,Pncl,void,,,0.0,0.75,76.67327292,89.7,88.0,10.27,0.4127,Stuttgart,Atp Singles
2026-06-11,15:30,2,E. Rybakina - T. Maria,UNDER 20.5 games,under,20.5,1.97,Superbet,loss,31,"6-7, 7-5, 6-0",-0.75,0.75,77.17623376,92.5,81.3,6.24,0.5887,London,Wta Singles
2026-06-11,13:30,5,B. Krejcikova - H. Vandewinkel,UNDER 19.5 games,under,19.5,2.14,Pncl,win,17,"6-1, 6-4",0.855,0.75,75.11574783,88.1,85.5,10.27,0.5758,Hertogenbosch,Wta Singles
2026-06-11,12:00,7,J. De Jong - F. Bondioli,UNDER 19.5 games,under,19.5,2.12,Superbet,loss,28,"6-2, 4-6, 6-4",-0.75,0.75,71.71918435,77.9,74.1,9.83,0.6105,Cattolica (Italy) - Qualification,Challenger Men Singles
2026-06-11,12:00,4,K. Smith - J. Fearnley,UNDER 21.5 games,under,21.5,2.16,Pncl,void,,,0.0,0.75,75.49633217,85.3,82.6,10.7,0.5143,Ilkley,Challenger Men Singles
2026-06-11,11:00,8,R. Hijikata - F. Tiafoe,UNDER 22.5 games,under,22.5,2.2,Pncl,win,20,"4-6, 4-6",0.9,0.75,70.15811534,87.7,87.6,11.55,0.3695,Stuttgart,Atp Singles
2026-06-11,06:00,6,K. Ogura - M. Imamura,UNDER 19.5 games,under,19.5,2.0,Betfair,win,17,"6-4, 6-1",0.75,0.75,74.16842757,90.1,80.1,7.0,0.632,M15 Tokyo,Itf Men Singles
2026-06-10,16:30,9,D. Salkova - M. Trevisan,UNDER 20.5 games,under,20.5,2.04,Pncl,win,20,"6-1, 7-6",0.78,0.75,70.53590443,91.7,84.6,7.98,0.3219,Modena (Italy) - Qualification,Challenger Women Singles
2026-06-10,16:30,1,N. Hardt - B. Fernandez,UNDER 18.5 games,under,18.5,2.18,Unibet,loss,20,"7-5, 6-2",-0.75,0.75,80.96831775,81.2,86.4,11.13,0.7342,San Miguel de Tucuman,Challenger Men Singles
2026-06-10,15:00,4,T. Cigarran - V. Aboian,UNDER 19.5 games,under,19.5,2.14,Pncl,void,,,0.0,0.75,76.40154497,84.8,81.1,10.27,0.6094,San Miguel de Tucuman,Challenger Men Singles
2026-06-10,15:00,3,N. Kicker - T. Martinez,UNDER 18.5 games,under,18.5,2.15,Superbet,win,16,"6-0, 6-4",0.862,0.75,77.55398806,81.6,82.3,10.49,0.6948,San Miguel de Tucuman,Challenger Men Singles
2026-06-10,14:00,7,L. Siegemund - A. Anisimova,UNDER 20.5 games,under,20.5,2.0,Betfair,win,16,"1-6, 3-6",0.75,0.75,74.32476333,92.5,83.4,7.0,0.4488,London,Wta Singles
2026-06-10,13:00,8,A. Bolt - K. Smith,UNDER 22.5 games,under,22.5,2.12,Pncl,win,20,"4-6, 4-6",0.84,0.75,71.26369614,87.3,80.9,9.83,0.4762,Ilkley,Challenger Men Singles
2026-06-10,11:00,5,A. Potapova - S. Lamens,UNDER 19.5 games,under,19.5,2.02,Pncl,loss,33,"6-7, 6-4, 6-4",-0.75,0.75,76.38506367,92.2,84.0,7.5,0.6111,Hertogenbosch,Wta Singles
2026-06-10,10:00,6,G. Ferrari - R. Carballes Baena,UNDER 19.5 games,under,19.5,2.14,Pncl,loss,20,"4-6, 4-6",-0.75,0.75,76.12420489,76.3,78.2,10.27,0.6522,Cattolica (Italy) - Qualification,Challenger Men Singles
2026-06-09,18:00,5,R. Dickerson - M. Pucinelli de Almeida,UNDER 18.5 games,under,18.5,2.16,Unibet,win,14,"1-6, 1-6",0.87,0.75,75.27804164,79.6,80.5,10.7,0.7054,San Miguel de Tucuman,Challenger Men Singles
2026-06-09,17:30,10,V. Jimenez Kasintseva - J. Pieri,UNDER 19.5 games,under,19.5,2.0,Betfair,win,18,"6-2, 6-4",0.75,0.75,72.6238754,91.7,82.0,7.0,0.5391,Modena (Italy) - Qualification,Challenger Women Singles
2026-06-09,17:00,14,J. S. Gomez - L. E. Ambrogi,UNDER 18.5 games,under,18.5,2.12,Unibet,win,18,"2-6, 4-6",0.84,0.75,71.61085863,79.2,74.7,9.83,0.6987,San Miguel de Tucuman,Challenger Men Singles
2026-06-09,16:30,13,H. Stewart - L. Riedi,UNDER 20.5 games,under,20.5,2.19,1xBet,loss,25,"1-6, 6-3, 3-6",-0.75,0.75,71.64184907,84.5,83.5,11.34,0.5017,Ilkley,Challenger Men Singles
2026-06-09,15:30,6,M. Stojsavljevic - M. Kostyuk,UNDER 18.5 games,under,18.5,2.1,Betfair,void,,,0.0,0.75,74.7311303,80.5,79.6,9.38,0.7095,London,Wta Singles
2026-06-09,15:30,1,O. Virtanen - K. Majchrzak,OVER 24.5 games,over,24.5,2.0,Pncl,win,36,"7-6, 4-6, 6-7",0.75,0.75,86.32821769,96,90.7,12.0,0.0403,Hertogenbosch,Atp Singles
2026-06-09,15:00,12,P. Boscardin Dias - E. Nava,UNDER 20.5 games,under,20.5,2.14,Pncl,loss,28,"5-7, 6-3, 1-6",-0.75,0.75,71.64231684,76.8,75.4,10.27,0.6072,Bratislava,Challenger Men Singles
2026-06-09,15:00,8,D. Altmaier - F. Tiafoe,UNDER 22.5 games,under,22.5,2.08,1xBet,loss,33,"6-7, 6-4, 4-6",-0.75,0.75,72.86629034,89.7,84.3,8.92,0.4895,Stuttgart,Atp Singles
2026-06-09,14:00,17,H. Hurkacz - M. Fucsovics,UNDER 22.5 games,under,22.5,2.15,Betano,void,,,0.0,0.75,70.33894061,88.1,84.4,10.49,0.4127,Hertogenbosch,Atp Singles
2026-06-09,14:00,4,L. Staeheli - F. Balshaw,UNDER 19.5 games,under,19.5,2.05,10Bet,loss,25,"6-7, 5-7",-0.75,0.75,75.54665239,90.1,81.7,8.22,0.6322,Lyon,Challenger Men Singles
2026-06-09,13:30,7,S. Gueymard Wayenburg - C. Tabur,UNDER 20.5 games,under,20.5,2.07,Betano,win,19,"4-6, 3-6",0.802,0.75,73.34345948,88.1,80.3,8.69,0.4562,Lyon,Challenger Men Singles
2026-06-09,13:00,9,J. De Jong - O. Milic,UNDER 19.5 games,under,19.5,2.0,bet365,loss,20,"6-1, 7-6",-0.75,0.75,72.81814611,84.1,73.3,7.0,0.6938,Cattolica (Italy) - Qualification,Challenger Men Singles
2026-06-09,11:00,15,P. Martinez - S. Gulin,UNDER 20.0 games,under,20.0,2.15,10Bet,win,19,"7-5, 6-1",0.862,0.75,71.02896013,86.5,82.8,10.49,0.4518,Lyon,Challenger Men Singles
2026-06-09,10:30,11,T. Boyer - R. Perot,UNDER 20.5 games,under,20.5,2.0,Betfair,win,17,"6-3, 6-2",0.75,0.75,71.81862284,90.9,80.6,7.0,0.4867,Lyon,Challenger Men Singles
2026-06-09,10:30,2,M. Krumich - M. Mrva,OVER 22.5 games,over,22.5,2.02,Pncl,win,23,"6-7, 4-6",0.765,0.75,86.11203192,96,90.1,12.5,0.0,Bratislava,Challenger Men Singles
2026-06-08,17:15,11,H. Grenier - L. van Assche,UNDER 19.5 games,under,19.5,2.0,bet365,win,15,"1-6, 2-6",0.75,0.75,71.84019245,90.1,77.5,7.0,0.7424,Lyon,Challenger Men Singles
