rank,score,picks,winrate,avg_odds,profit,roi,max_drawdown,test_picks,test_profit,test_roi,positive_folds,complexity,rule_id,rule_json
1,313.7786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,8,3982148242dd5a6221ac893565e71e69,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": null, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
2,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,6b5fdee5bfc1a6c36dda1c07eb50ab41,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": 2, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 70, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
3,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,457aca211c1e5bf7d3b8a56d20c72310,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": 4, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 70, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
4,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,a134838ad89e51fc8654ad654df23ce6,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": 3, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 70, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
5,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,7a9cd32edfc8bd7e484433bbc19461ec,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": 5, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 70, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
6,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,45133a70965b199d44dee6df92f71318,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": null, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": 1.55, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
7,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,08da5336e6e18f079309621d0389dbf5,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": 4, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
8,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,0750fb0e1dcb2b590259ceebe74ede0d,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": null, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": 1.7, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
9,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,f805c1dd5b97248ed5c26744eccf5812,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": null, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": 1.8, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
10,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,385f431e3bdbdfb83b39417cdb9e8f76,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": null, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": 1.6, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
