date,time,tour_level,gender,surface,match,selection,settlement_status,settlement_odds,profit,tle_probability,book_probability_devig,tle_edge,tle_ev,event_key,winner_side,api_event_winner,api_final_score,api_event_status,settlement_reason,first_seen_at,last_seen_at,ledger_status
2026-06-11,20:20,itf,women,hard,S. Yamalapalli - D. Plekhanova,D. Plekhanova,VOID,1.91,0.0,0.57537,0.437316,0.138054,0.222342,12135729,,First Player,0 - 0,Retired,void_status,2026-06-11T14:13:14+00:00,2026-06-11T17:02:31+00:00,not_in_latest_snapshot
2026-06-11,22:00,itf,women,clay,L. Fullana - M. Souza,M. Souza,LOSS,4.0,-1.0,0.3218,0.240759,0.081041,0.239332,12135801,player_1,First Player,2 - 1,Finished,settled,2026-06-11T08:24:31+00:00,2026-06-11T17:02:31+00:00,not_in_latest_snapshot
2026-06-11,22:00,itf,men,hard,M. Exsted - T. Dean,T. Dean,LOSS,2.06,-1.0,0.553626,0.446237,0.107389,0.14047,12135984,player_1,First Player,2 - 1,Finished,settled,2026-06-11T17:02:31+00:00,2026-06-11T17:02:31+00:00,not_in_latest_snapshot
2026-06-12,09:00,itf,men,hard,I. Marrero Curbelo - K. Chopra,I. Marrero Curbelo,PENDING,1.411111,0.0,0.78207,0.657127,0.124943,0.103588,12136158,,,-,,not_finished,2026-06-12T06:05:02+00:00,2026-06-12T06:05:02+00:00,active_in_latest_snapshot
2026-06-12,09:30,itf,men,clay,M. Ponce de Leon Gomila - K. Kivattsev,K. Kivattsev,PENDING,1.541667,0.0,0.664083,0.603753,0.06033,0.021739,12135607,,,1 - 1,Set 3,not_finished,2026-06-11T08:24:31+00:00,2026-06-12T06:05:02+00:00,active_in_latest_snapshot
2026-06-12,09:30,itf,women,clay,M. Mettraux - A. Stankovic,M. Mettraux,PENDING,2.02125,0.0,0.589656,0.458654,0.131001,0.191841,12136076,,,-,,not_finished,2026-06-12T06:05:02+00:00,2026-06-12T06:05:02+00:00,active_in_latest_snapshot
2026-06-12,10:00,itf,men,unknown,N. McDonald - A. Shepp,A. Shepp,LOSS,2.0725,-1.0,0.606022,0.448253,0.157769,0.25598,12135827,player_1,First Player,2 - 0,Finished,settled,2026-06-12T06:05:02+00:00,2026-06-12T06:05:02+00:00,active_in_latest_snapshot
2026-06-12,10:00,itf,men,unknown,M. Wiskandt - S. Kopp,S. Kopp,PENDING,1.61625,0.0,0.695195,0.574671,0.120524,0.123609,12136071,,,0 - 1,Set 2,not_finished,2026-06-12T06:05:02+00:00,2026-06-12T06:05:02+00:00,active_in_latest_snapshot
2026-06-12,10:00,itf,men,clay,J. Kumstat - M. Moeller,M. Moeller,PENDING,1.8,0.0,0.640437,0.515115,0.125321,0.152786,12136120,,,1 - 0,Set 2,not_finished,2026-06-12T06:05:02+00:00,2026-06-12T06:05:02+00:00,active_in_latest_snapshot
2026-06-12,10:30,itf,men,clay,S. Perez Contri - Y. Ghazouani Durand,Y. Ghazouani Durand,PENDING,3.196667,0.0,0.440189,0.290155,0.150034,0.407138,12135846,,,-,,not_finished,2026-06-12T06:05:02+00:00,2026-06-12T06:05:02+00:00,active_in_latest_snapshot
2026-06-12,10:30,itf,men,unknown,P. Barbier Gazeu - C. Bouchelaghem,C. Bouchelaghem,PENDING,1.464286,0.0,0.732453,0.63432,0.098133,0.072521,12136061,,,-,,not_finished,2026-06-12T06:05:02+00:00,2026-06-12T06:05:02+00:00,active_in_latest_snapshot
2026-06-12,11:00,itf,women,unknown,N. Torner Sensano - C. Gallardo Guevara,C. Gallardo Guevara,PENDING,2.772222,0.0,0.551617,0.334134,0.217483,0.529205,12136030,,,-,,not_finished,2026-06-12T06:05:02+00:00,2026-06-12T06:05:02+00:00,active_in_latest_snapshot
2026-06-12,11:00,itf,men,clay,B. Djuric - N. Jadoun,N. Jadoun,PENDING,3.707778,0.0,0.321442,0.249269,0.072173,0.191836,12136080,,,-,,not_finished,2026-06-12T06:05:02+00:00,2026-06-12T06:05:02+00:00,active_in_latest_snapshot
2026-06-12,11:00,itf,women,hard,F. Jorge - A. Falei,A. Falei,PENDING,1.785714,0.0,0.586253,0.518861,0.067393,0.046881,12136118,,,0 - 0,Set 1,not_finished,2026-06-12T06:05:02+00:00,2026-06-12T06:05:02+00:00,active_in_latest_snapshot
