date,time,tour_level,gender,surface,match,selection,settlement_status,settlement_odds,profit,tle_probability,book_probability_devig,tle_edge,tle_ev,event_key,winner_side,api_event_winner,api_final_score,api_event_status,settlement_reason,first_seen_at,last_seen_at,ledger_status
2026-06-11,11:30,itf,men,clay,M. Ponce de Leon Gomila - K. Kivattsev,K. Kivattsev,PENDING,1.541667,0.0,0.664083,0.602492,0.06159,0.023794,12135607,,,,,fixture_not_found,2026-06-11T08:24:31+00:00,2026-06-11T08:24:31+00:00,not_in_latest_snapshot
2026-06-11,14:30,itf,women,unknown,C. Burel - D. Chiesa,D. Chiesa,LOSS,2.396667,-1.0,0.603874,0.387042,0.216832,0.447284,12135626,player_1,First Player,2 - 1,Finished,settled,2026-06-11T08:24:31+00:00,2026-06-11T08:24:31+00:00,not_in_latest_snapshot
2026-06-11,14:30,itf,women,unknown,M. Lazarenko - A. Granwehr,M. Lazarenko,LOSS,3.215,-1.0,0.391421,0.28714,0.104281,0.258418,12135628,player_2,Second Player,1 - 2,Finished,settled,2026-06-11T08:24:31+00:00,2026-06-11T08:24:31+00:00,not_in_latest_snapshot
2026-06-11,17:00,itf,men,hard,C. Hernandez - J. Domingues,J. Domingues,WIN,1.3675,0.3675,0.74666,0.674308,0.072352,0.021058,12135512,player_2,Second Player,0 - 2,Finished,settled,2026-06-11T08:24:31+00:00,2026-06-11T14:13:14+00:00,not_in_latest_snapshot
2026-06-11,17:00,itf,men,hard,P. Marinkov - D. Chan,P. Marinkov,LOSS,3.15,-1.0,0.676303,0.290909,0.385394,1.110065,12135763,player_2,Second Player,0 - 2,Finished,settled,2026-06-11T08:24:31+00:00,2026-06-11T14:13:14+00:00,not_in_latest_snapshot
2026-06-11,17:00,itf,men,hard,K. Poling - D. Popko,D. Popko,WIN,1.66,0.66,0.862758,0.558511,0.304248,0.432179,12135764,player_2,Second Player,1 - 2,Finished,settled,2026-06-11T14:13:14+00:00,2026-06-11T14:13:14+00:00,not_in_latest_snapshot
2026-06-11,19:00,itf,men,hard,O. Baris - Z. Velcz,Z. Velcz,LOSS,2.81,-1.0,0.386877,0.329356,0.057522,0.087125,12135697,player_1,First Player,2 - 0,Finished,settled,2026-06-11T14:13:14+00:00,2026-06-11T14:13:14+00:00,not_in_latest_snapshot
2026-06-11,20:00,itf,men,hard,M. Farzam - K. Miyoshi,M. Farzam,LOSS,3.15,-1.0,0.396579,0.27616,0.12042,0.330524,12135792,player_2,Second Player,0 - 2,Finished,settled,2026-06-11T08:24:31+00:00,2026-06-11T17:02:31+00:00,active_in_latest_snapshot
2026-06-11,20:00,itf,women,hard,A. Haile - A. Shcherbinina,A. Haile,LOSS,3.9125,-1.0,0.503131,0.238072,0.265059,0.9685,12135898,player_2,Second Player,0 - 2,Finished,settled,2026-06-11T17:02:31+00:00,2026-06-11T17:02:31+00:00,active_in_latest_snapshot
2026-06-11,20:00,itf,women,hard,K. Penickova - K. Nguyen,K. Nguyen,LOSS,4.02,-1.0,0.305883,0.230622,0.075261,0.229649,12135901,player_1,First Player,2 - 0,Finished,settled,2026-06-11T17:02:31+00:00,2026-06-11T17:02:31+00:00,active_in_latest_snapshot
2026-06-11,20:20,itf,women,hard,S. Yamalapalli - D. Plekhanova,D. Plekhanova,PENDING,1.91,0.0,0.57537,0.437316,0.138054,0.222342,12135729,,,,,fixture_not_found,2026-06-11T14:13:14+00:00,2026-06-11T17:02:31+00:00,active_in_latest_snapshot
2026-06-11,21:00,itf,men,hard,B. Ellis - S. Gorzny,B. Ellis,PENDING,2.17,0.0,0.784243,0.413833,0.37041,0.757576,12135804,,,1 - 1,Set 3,not_finished,2026-06-11T08:24:31+00:00,2026-06-11T17:02:31+00:00,active_in_latest_snapshot
2026-06-11,22:00,itf,women,clay,L. Fullana - M. Souza,M. Souza,PENDING,4.0,0.0,0.3218,0.240759,0.081041,0.239332,12135801,,,1 - 0,Set 2,not_finished,2026-06-11T08:24:31+00:00,2026-06-11T17:02:31+00:00,active_in_latest_snapshot
2026-06-11,22:00,itf,men,hard,K. Bigun - J. Roddick,J. Roddick,LOSS,2.5,-1.0,0.424846,0.370277,0.054569,0.062115,12135983,player_1,First Player,2 - 0,Finished,settled,2026-06-11T17:02:31+00:00,2026-06-11T17:02:31+00:00,active_in_latest_snapshot
2026-06-11,22:00,itf,men,hard,M. Exsted - T. Dean,T. Dean,PENDING,2.06,0.0,0.553626,0.446237,0.107389,0.14047,12135984,,,-,,not_finished,2026-06-11T17:02:31+00:00,2026-06-11T17:02:31+00:00,active_in_latest_snapshot
